,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
2,22,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,0.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,23,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,4.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0
1,23,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,4.0,-3.0,-1.0,2.0,-2.0,0.0,-2.0,1.0,4.0,1.0,-2.0,0.0,5.0,-4.0,1.0,1.0
2,23,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,0.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,24,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,4.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0
1,24,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,4.0,-3.0,-1.0,2.0,-2.0,0.0,-2.0,2.0,3.0,1.0,-2.0,0.0,6.0,-5.0,1.0,1.0
2,24,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,0.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,25,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.0,4.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-2.0,0.0
1,25,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,4.0,-3.0,-2.0,2.0,-2.0,0.0,-2.0,3.0,3.0,1.0,-2.0,0.0,6.0,-5.0,1.0,1.0
2,25,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,26,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,3.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-2.0,0.0
1,26,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,3.0,-1.0,-1.0,6.0,-3.0,-3.0,2.0,-2.0,0.0,-2.0,3.0,3.0,1.0,-2.0,0.0,6.0,-5.0,1.0,1.0
2,26,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,27,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,3.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-2.0,0.0
1,27,Salmon,-2.0,2.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,-1.0,7.0,-3.0,-3.0,2.0,-2.0,-1.0,-2.0,3.0,3.0,1.0,-2.0,0.0,6.0,-5.0,1.0,1.0
2,27,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,3.0,0.0,-3.0,0.0
0,28,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,-1.0,3.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,3.0,-2.0,-1.0,0.0,0.0,-2.0,0.0
1,28,Salmon,-2.0,2.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,-1.0,7.0,-3.0,-2.0,2.0,-2.0,-1.0,-2.0,1.0,2.0,1.0,-2.0,0.0,6.0,-3.0,1.0,1.0
