,Time,Type,Zone1,Zone2,Zone3,Zone4
228,77,Tuna,0.0,0.0,0.0,0.0
229,77,Salmon,0.0,1.0,-1.0,0.0
230,77,Clown,0.0,0.0,0.0,0.0
231,78,Tuna,0.0,0.0,0.0,0.0
232,78,Salmon,0.0,0.0,0.0,0.0
233,78,Clown,0.0,0.0,0.0,0.0
234,79,Tuna,0.0,0.0,0.0,0.0
235,79,Salmon,0.0,0.0,0.0,0.0
236,79,Clown,0.0,0.0,0.0,0.0
237,80,Tuna,0.0,0.0,0.0,0.0
238,80,Salmon,0.0,0.0,0.0,0.0
239,80,Clown,0.0,3.0,-3.0,0.0
240,81,Tuna,1.0,-1.0,1.0,-1.0
241,81,Salmon,0.0,0.0,0.0,0.0
242,81,Clown,0.0,-3.0,3.0,0.0
243,82,Tuna,0.0,0.0,1.0,-1.0
244,82,Salmon,0.0,0.0,0.0,0.0
245,82,Clown,0.0,0.0,0.0,0.0
246,83,Tuna,0.0,0.0,0.0,0.0
247,83,Salmon,1.0,-1.0,0.0,0.0
248,83,Clown,0.0,0.0,0.0,0.0
249,84,Tuna,0.0,0.0,0.0,0.0
250,84,Salmon,-2.0,1.0,0.0,1.0
251,84,Clown,0.0,0.0,0.0,0.0
252,85,Tuna,0.0,0.0,0.0,0.0
253,85,Salmon,0.0,0.0,0.0,0.0
254,85,Clown,0.0,0.0,0.0,0.0
255,86,Tuna,0.0,0.0,0.0,0.0
256,86,Salmon,0.0,0.0,-1.0,1.0
257,86,Clown,0.0,0.0,0.0,0.0
258,87,Tuna,1.0,0.0,0.0,-1.0
259,87,Salmon,-2.0,1.0,-1.0,2.0
260,87,Clown,0.0,0.0,0.0,0.0
261,88,Tuna,1.0,-1.0,0.0,0.0
262,88,Salmon,0.0,0.0,0.0,0.0
263,88,Clown,0.0,3.0,-3.0,0.0
264,89,Tuna,0.0,0.0,1.0,-1.0
265,89,Salmon,0.0,0.0,0.0,0.0
266,89,Clown,0.0,-3.0,3.0,0.0
267,90,Tuna,0.0,0.0,0.0,0.0
268,90,Salmon,0.0,1.0,-1.0,0.0
269,90,Clown,0.0,3.0,-3.0,0.0
270,91,Tuna,0.0,0.0,0.0,0.0
271,91,Salmon,0.0,0.0,0.0,0.0
272,91,Clown,0.0,0.0,0.0,0.0
273,92,Tuna,0.0,0.0,0.0,0.0
274,92,Salmon,0.0,0.0,0.0,0.0
275,92,Clown,0.0,0.0,0.0,0.0
276,93,Tuna,0.0,0.0,0.0,0.0
277,93,Salmon,0.0,0.0,0.0,0.0
278,93,Clown,0.0,0.0,0.0,0.0
279,94,Tuna,1.0,-1.0,0.0,0.0
280,94,Salmon,0.0,0.0,1.0,-1.0
281,94,Clown,0.0,0.0,3.0,-3.0
282,95,Tuna,0.0,0.0,0.0,0.0
283,95,Salmon,1.0,-1.0,0.0,0.0
284,95,Clown,0.0,3.0,-3.0,0.0
285,96,Tuna,0.0,0.0,0.0,0.0
286,96,Salmon,-2.0,0.0,0.0,2.0
287,96,Clown,0.0,0.0,0.0,0.0
288,97,Tuna,0.0,0.0,0.0,0.0
289,97,Salmon,0.0,0.0,0.0,0.0
290,97,Clown,0.0,0.0,0.0,0.0
291,98,Tuna,1.0,-1.0,0.0,0.0
292,98,Salmon,0.0,0.0,0.0,0.0
293,98,Clown,0.0,3.0,0.0,-3.0
294,99,Tuna,0.0,0.0,0.0,0.0
295,99,Salmon,1.0,-1.0,0.0,0.0
296,99,Clown,0.0,0.0,0.0,0.0
