,Time,Type,Zone1,Zone2,Zone3
1,143,Salmon,-2.0,1.0,1.0
2,143,Clown,-39.0,51.0,-12.0
0,144,Tuna,-4.0,-4.0,8.0
1,144,Salmon,-2.0,2.0,0.0
2,144,Clown,-39.0,54.0,-15.0
0,145,Tuna,-4.0,-5.0,9.0
1,145,Salmon,-3.0,4.0,-1.0
2,145,Clown,-39.0,54.0,-15.0
0,146,Tuna,-4.0,-4.0,8.0
1,146,Salmon,-2.0,3.0,-1.0
2,146,Clown,-36.0,51.0,-15.0
0,147,Tuna,-4.0,-3.0,7.0
1,147,Salmon,-2.0,3.0,-1.0
2,147,Clown,-36.0,51.0,-15.0
0,148,Tuna,-3.0,-4.0,7.0
1,148,Salmon,-3.0,4.0,-1.0
2,148,Clown,-36.0,51.0,-15.0
0,149,Tuna,-3.0,-4.0,7.0
1,149,Salmon,-2.0,3.0,-1.0
2,149,Clown,-36.0,51.0,-15.0
0,150,Tuna,-3.0,-3.0,6.0
1,150,Salmon,-1.0,2.0,-1.0
2,150,Clown,-36.0,54.0,-18.0
0,151,Tuna,-3.0,-4.0,7.0
1,151,Salmon,-1.0,2.0,-1.0
2,151,Clown,-36.0,54.0,-18.0
0,152,Tuna,-4.0,-3.0,7.0
1,152,Salmon,-1.0,2.0,-1.0
2,152,Clown,-36.0,57.0,-21.0
0,153,Tuna,-5.0,-2.0,7.0
1,153,Salmon,0.0,1.0,-1.0
2,153,Clown,-36.0,60.0,-24.0
0,154,Tuna,-5.0,-1.0,6.0
1,154,Salmon,0.0,1.0,-1.0
2,154,Clown,-36.0,60.0,-24.0
0,155,Tuna,-5.0,-2.0,7.0
1,155,Salmon,-1.0,2.0,-1.0
2,155,Clown,-36.0,60.0,-24.0
0,156,Tuna,-5.0,-1.0,6.0
1,156,Salmon,-1.0,1.0,0.0
2,156,Clown,-36.0,60.0,-24.0
0,157,Tuna,-5.0,-1.0,6.0
1,157,Salmon,-1.0,1.0,0.0
2,157,Clown,-36.0,60.0,-24.0
0,158,Tuna,-5.0,-1.0,6.0
1,158,Salmon,0.0,0.0,0.0
2,158,Clown,-30.0,54.0,-24.0
0,159,Tuna,-5.0,-1.0,6.0
1,159,Salmon,1.0,-1.0,0.0
2,159,Clown,-30.0,57.0,-27.0
0,160,Tuna,-4.0,-2.0,6.0
1,160,Salmon,2.0,-2.0,0.0
2,160,Clown,-30.0,57.0,-27.0
0,161,Tuna,-3.0,-3.0,6.0
1,161,Salmon,1.0,-1.0,0.0
2,161,Clown,-30.0,57.0,-27.0
0,162,Tuna,-3.0,-3.0,6.0
1,162,Salmon,1.0,-1.0,0.0
2,162,Clown,-30.0,57.0,-27.0
0,163,Tuna,-3.0,-3.0,6.0
1,163,Salmon,2.0,-2.0,0.0
2,163,Clown,-30.0,57.0,-27.0
0,164,Tuna,-3.0,-3.0,6.0
1,164,Salmon,3.0,-3.0,0.0
2,164,Clown,-30.0,57.0,-27.0
